||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 2048 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
2048	11	1	12	0	0	1	12	1	12	0	0	0	0	0	0	0	0	18	113.78	?????	0.0000
2048	33	2	13	0	0	2	13	1	12	0	0	1	1	0	0	0	0	18	113.78	?????	0.0000
2048	40	3	14	0	0	3	14	1	12	0	0	2	2	0	0	0	0	18	113.78	?????	0.0000
2048	45	4	15	0	0	4	15	1	12	0	0	3	3	0	0	0	0	18	113.78	?????	0.0000
2048	55	5	16	0	0	5	16	1	12	0	0	4	4	0	0	0	0	18	113.78	?????	0.0000
2048	64	6	17	0	0	6	17	1	12	0	0	5	5	0	0	0	0	18	113.78	?????	0.0000
2048	75	7	18	0	0	7	18	1	12	0	0	6	6	0	0	0	0	18	113.78	?????	0.0000
2048	79	9	20	0	0	9	20	1	12	0	0	8	8	0	0	0	0	18	113.78	?????	0.0000
2048	82	10	21	0	0	10	21	1	12	0	0	9	9	0	0	0	0	18	113.78	?????	0.0000
2048	90	11	22	0	0	11	22	1	12	0	0	10	10	0	0	0	0	18	113.78	?????	0.0000
2048	101	12	182	0	0	12	182	1	12	1	160	10	10	0	0	0	0	18	113.78	?????	0.0000
2048	109	13	183	0	0	13	183	1	12	1	160	11	11	0	0	0	0	18	113.78	?????	0.0000
2048	117	14	184	0	0	14	184	1	12	1	160	12	12	0	0	0	0	18	113.78	?????	0.0000
2048	134	15	185	0	0	15	185	1	12	1	160	13	13	0	0	0	0	18	113.78	?????	0.0000
2048	135	16	186	0	0	16	186	1	12	1	160	14	14	0	0	0	0	18	113.78	?????	0.0000
2048	136	17	192	0	0	17	192	2	18	1	160	14	14	0	0	0	0	18	113.78	?????	0.0000
2048	151	18	193	0	0	18	193	2	18	1	160	15	15	0	0	0	0	18	113.78	?????	0.0000
2048	159	19	194	0	0	19	194	2	18	1	160	16	16	0	0	0	0	18	113.78	?????	0.0000
2048	163	20	195	0	0	20	195	2	18	1	160	17	17	0	0	0	0	18	113.78	?????	0.0000
2048	164	21	207	0	0	21	207	3	30	1	160	17	17	0	0	0	0	18	113.78	?????	0.0000
2048	171	22	208	0	0	22	208	3	30	1	160	18	18	0	0	0	0	18	113.78	?????	0.0000
2048	202	23	224	0	0	23	224	4	46	1	160	18	18	0	0	0	0	18	113.78	?????	0.0000
2048	220	24	225	0	0	24	225	4	46	1	160	19	19	0	0	0	0	18	113.78	?????	0.0000
2048	229	25	226	0	0	25	226	4	46	1	160	20	20	0	0	0	0	18	113.78	?????	0.0000
2048	236	26	227	0	0	26	227	4	46	1	160	21	21	0	0	0	0	18	113.78	?????	0.0000
2048	238	27	228	0	0	27	228	4	46	1	160	22	22	0	0	0	0	18	113.78	?????	0.0000
