||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 512 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
512	1	1	17	1	17	0	0	1	17	0	0	0	0	0	0	0	0	19	26.95	0.0000	?????
512	6	2	18	1	17	1	1	1	17	0	0	1	1	0	0	0	0	18	28.44	1.0000	1.0000
512	15	3	19	1	17	2	2	1	17	0	0	2	2	0	0	0	0	18	28.44	2.0000	0.5000
512	18	4	40	2	38	2	2	1	17	1	21	2	2	0	0	0	0	18	28.44	1.0000	1.0000
512	24	5	102	2	38	3	64	2	79	1	21	2	2	0	0	0	0	19	26.95	1.5000	0.6667
512	38	6	108	2	38	4	70	2	79	2	27	2	2	0	0	0	0	19	26.95	2.0000	0.5000
512	41	7	130	2	38	5	92	3	101	2	27	2	2	0	0	0	0	19	26.95	2.5000	0.4000
512	44	8	131	2	38	6	93	3	101	2	27	3	3	0	0	0	0	19	26.95	3.0000	0.3333
512	45	9	132	2	38	7	94	3	101	2	27	4	4	0	0	0	0	19	26.95	3.5000	0.2857
512	48	10	133	2	38	8	95	3	101	2	27	5	5	0	0	0	0	19	26.95	4.0000	0.2500
512	49	11	134	2	38	9	96	3	101	2	27	6	6	0	0	0	0	19	26.95	4.5000	0.2222
512	51	12	135	2	38	10	97	3	101	2	27	7	7	0	0	0	0	19	26.95	5.0000	0.2000
512	58	13	136	2	38	11	98	3	101	2	27	8	8	0	0	0	0	19	26.95	5.5000	0.1818
512	61	14	137	2	38	12	99	3	101	2	27	9	9	0	0	0	0	19	26.95	6.0000	0.1667
512	62	15	170	2	38	13	132	4	134	2	27	9	9	0	0	0	0	19	26.95	6.5000	0.1538
512	64	16	174	2	38	14	136	4	134	3	31	9	9	0	0	0	0	19	26.95	7.0000	0.1429
512	69	17	182	2	38	15	144	4	134	4	39	9	9	0	0	0	0	19	26.95	7.5000	0.1333
512	71	18	213	2	38	16	175	4	134	5	70	9	9	0	0	0	0	19	26.95	8.0000	0.1250
512	72	19	214	2	38	17	176	4	134	5	70	10	10	0	0	0	0	19	26.95	8.5000	0.1176
512	79	20	228	2	38	18	190	5	148	5	70	10	10	0	0	0	0	19	26.95	9.0000	0.1111
512	85	21	229	2	38	19	191	5	148	5	70	11	11	0	0	0	0	19	26.95	9.5000	0.1053
512	88	22	230	2	38	20	192	5	148	5	70	12	12	0	0	0	0	19	26.95	10.0000	0.1000
512	89	23	231	2	38	21	193	5	148	5	70	13	13	0	0	0	0	19	26.95	10.5000	0.0952
512	91	24	232	2	38	22	194	5	148	5	70	14	14	0	0	0	0	19	26.95	11.0000	0.0909
512	93	25	381	3	187	22	194	6	297	5	70	14	14	0	0	0	0	19	26.95	7.3333	0.1364
512	99	26	442	3	187	23	255	6	297	6	131	14	14	0	0	0	0	18	28.44	7.6667	0.1304
512	101	28	444	3	187	25	257	6	297	6	131	16	16	0	0	0	0	18	28.44	8.3333	0.1200
512	109	29	445	3	187	26	258	6	297	6	131	17	17	0	0	0	0	18	28.44	8.6667	0.1154
512	114	30	446	3	187	27	259	6	297	6	131	18	18	0	0	0	0	18	28.44	9.0000	0.1111
512	119	31	489	3	187	28	302	7	340	6	131	18	18	0	0	0	0	18	28.44	9.3333	0.1071
512	120	32	539	3	187	29	352	7	340	7	181	18	18	0	0	0	0	18	28.44	9.6667	0.1034
512	126	33	540	3	187	30	353	7	340	7	181	19	19	0	0	0	0	18	28.44	10.0000	0.1000
512	128	34	541	3	187	31	354	7	340	7	181	20	20	0	0	0	0	18	28.44	10.3333	0.0968
512	129	35	542	3	187	32	355	7	340	7	181	21	21	0	0	0	0	18	28.44	10.6667	0.0938
512	130	36	543	3	187	33	356	7	340	7	181	22	22	0	0	0	0	18	28.44	11.0000	0.0909
512	131	37	550	3	187	34	363	7	340	8	188	22	22	0	0	0	0	18	28.44	11.3333	0.0882
512	133	38	555	3	187	35	368	8	345	8	188	22	22	0	0	0	0	18	28.44	11.6667	0.0857
512	137	39	676	3	187	36	489	9	466	8	188	22	22	0	0	0	0	18	28.44	12.0000	0.0833
512	139	40	687	3	187	37	500	9	466	9	199	22	22	0	0	0	0	18	28.44	12.3333	0.0811
512	142	41	688	3	187	38	501	9	466	9	199	23	23	0	0	0	0	18	28.44	12.6667	0.0789
512	144	42	691	3	187	39	504	9	466	10	202	23	23	0	0	0	0	18	28.44	13.0000	0.0769
512	146	43	692	3	187	40	505	9	466	10	202	24	24	0	0	0	0	18	28.44	13.3333	0.0750
512	150	44	783	3	187	41	596	9	466	11	293	24	24	0	0	0	0	18	28.44	13.6667	0.0732
512	154	45	794	3	187	42	607	10	477	11	293	24	24	0	0	0	0	18	28.44	14.0000	0.0714
512	157	46	795	3	187	43	608	10	477	11	293	25	25	0	0	0	0	18	28.44	14.3333	0.0698
512	158	47	895	3	187	44	708	10	477	12	393	25	25	0	0	0	0	18	28.44	14.6667	0.0682
512	163	48	896	3	187	45	709	10	477	12	393	26	26	0	0	0	0	18	28.44	15.0000	0.0667
512	164	49	957	3	187	46	770	10	477	13	454	26	26	0	0	0	0	18	28.44	15.3333	0.0652
512	167	50	961	3	187	47	774	11	481	13	454	26	26	0	0	0	0	18	28.44	15.6667	0.0638
512	169	51	972	3	187	48	785	12	492	13	454	26	26	0	0	0	0	18	28.44	16.0000	0.0625
512	170	52	994	4	209	48	785	13	514	13	454	26	26	0	0	0	0	18	28.44	12.0000	0.0833
512	171	53	1002	4	209	49	793	14	522	13	454	26	26	0	0	0	0	17	30.12	12.2500	0.0816
512	178	53	1002	4	209	49	793	14	522	13	454	26	26	1	1	0	0	17	30.12	12.2500	0.0816
512	185	54	1003	4	209	50	794	14	522	13	454	27	27	1	1	0	0	17	30.12	12.5000	0.0800
512	186	56	1005	4	209	52	796	14	522	13	454	29	29	1	1	0	0	17	30.12	13.0000	0.0769
512	191	57	1019	4	209	53	810	14	522	14	468	29	29	1	1	0	0	17	30.12	13.2500	0.0755
512	193	58	1020	4	209	54	811	14	522	14	468	30	30	1	1	0	0	17	30.12	13.5000	0.0741
512	195	59	1084	4	209	55	875	14	522	15	532	30	30	1	1	0	0	17	30.12	13.7500	0.0727
512	196	60	1085	4	209	56	876	14	522	15	532	31	31	1	1	0	0	17	30.12	14.0000	0.0714
512	198	61	1086	4	209	57	877	14	522	15	532	32	32	1	1	0	0	17	30.12	14.2500	0.0702
512	207	62	1087	4	209	58	878	14	522	15	532	33	33	1	1	0	0	17	30.12	14.5000	0.0690
512	208	63	1192	5	314	58	878	14	522	16	637	33	33	1	1	0	0	17	30.12	11.6000	0.0862
512	211	64	1193	5	314	59	879	14	522	16	637	34	34	1	1	0	0	18	28.44	11.8000	0.0847
512	216	65	1194	5	314	60	880	14	522	16	637	35	35	1	1	0	0	18	28.44	12.0000	0.0833
512	218	66	1230	5	314	61	916	15	558	16	637	35	35	1	1	0	0	18	28.44	12.2000	0.0820
512	226	67	1231	5	314	62	917	15	558	16	637	36	36	1	1	0	0	18	28.44	12.4000	0.0806
512	227	68	1232	5	314	63	918	15	558	16	637	37	37	1	1	0	0	18	28.44	12.6000	0.0794
512	231	69	1233	5	314	64	919	15	558	16	637	38	38	1	1	0	0	18	28.44	12.8000	0.0781
512	232	70	1234	5	314	65	920	15	558	16	637	39	39	1	1	0	0	18	28.44	13.0000	0.0769
512	233	71	1403	6	483	65	920	15	558	17	806	39	39	1	1	0	0	18	28.44	10.8333	0.0923
512	240	72	1404	6	483	66	921	15	558	17	806	40	40	1	1	0	0	19	26.95	11.0000	0.0909
512	241	73	1405	6	483	67	922	15	558	17	806	41	41	1	1	0	0	19	26.95	11.1667	0.0896
512	243	74	1409	6	483	68	926	16	562	17	806	41	41	1	1	0	0	19	26.95	11.3333	0.0882
512	247	75	1410	6	483	69	927	16	562	17	806	42	42	1	1	0	0	19	26.95	11.5000	0.0870
512	249	76	1438	6	483	70	955	16	562	18	834	42	42	1	1	0	0	19	26.95	11.6667	0.0857
512	251	78	1440	6	483	72	957	16	562	18	834	44	44	1	1	0	0	19	26.95	12.0000	0.0833
512	252	80	1442	6	483	74	959	16	562	18	834	46	46	1	1	0	0	19	26.95	12.3333	0.0811
512	253	81	1443	6	483	75	960	16	562	18	834	47	47	1	1	0	0	19	26.95	12.5000	0.0800
512	254	82	1444	6	483	76	961	16	562	18	834	48	48	1	1	0	0	19	26.95	12.6667	0.0789
512	261	83	1450	6	483	77	967	16	562	19	840	48	48	1	1	0	0	19	26.95	12.8333	0.0779
512	262	84	1451	6	483	78	968	16	562	19	840	49	49	1	1	0	0	19	26.95	13.0000	0.0769
512	280	85	1452	6	483	79	969	16	562	19	840	50	50	1	1	0	0	19	26.95	13.1667	0.0759
512	285	86	1453	6	483	80	970	16	562	19	840	51	51	1	1	0	0	19	26.95	13.3333	0.0750
512	286	87	1585	6	483	81	1102	17	694	19	840	51	51	1	1	0	0	19	26.95	13.5000	0.0741
512	289	88	1688	6	483	82	1205	17	694	20	943	51	51	1	1	0	0	19	26.95	13.6667	0.0732
512	292	89	1689	6	483	83	1206	17	694	20	943	52	52	1	1	0	0	19	26.95	13.8333	0.0723
512	298	90	1690	6	483	84	1207	17	694	20	943	53	53	1	1	0	0	19	26.95	14.0000	0.0714
512	300	91	1691	6	483	85	1208	17	694	20	943	54	54	1	1	0	0	19	26.95	14.1667	0.0706
512	308	92	1692	6	483	86	1209	17	694	20	943	55	55	1	1	0	0	19	26.95	14.3333	0.0698
512	311	93	1693	6	483	87	1210	17	694	20	943	56	56	1	1	0	0	19	26.95	14.5000	0.0690
512	313	95	1695	6	483	89	1212	17	694	20	943	58	58	1	1	0	0	19	26.95	14.8333	0.0674
512	315	96	1696	6	483	90	1213	17	694	20	943	59	59	1	1	0	0	19	26.95	15.0000	0.0667
512	317	97	1697	6	483	91	1214	17	694	20	943	60	60	1	1	0	0	19	26.95	15.1667	0.0659
512	318	98	1698	6	483	92	1215	17	694	20	943	61	61	1	1	0	0	19	26.95	15.3333	0.0652
