||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 40 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
40	3	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	9	4.44	?????	0.0000
40	6	2	31	1	30	1	1	1	30	0	0	1	1	0	0	0	0	9	4.44	1.0000	1.0000
40	10	3	46	2	45	1	1	2	45	0	0	1	1	0	0	0	0	8	5.00	0.5000	2.0000
40	26	4	47	2	45	2	2	2	45	0	0	2	2	0	0	0	0	7	5.71	1.0000	1.0000
40	50	5	49	2	45	3	4	2	45	0	0	2	2	0	0	1	2	7	5.71	1.5000	0.6667
40	69	6	50	2	45	4	5	2	45	0	0	3	3	0	0	1	2	7	5.71	2.0000	0.5000
40	78	7	51	2	45	5	6	2	45	0	0	4	4	0	0	1	2	7	5.71	2.5000	0.4000
40	81	8	60	2	45	6	15	3	54	0	0	4	4	0	0	1	2	7	5.71	3.0000	0.3333
40	92	9	61	2	45	7	16	3	54	0	0	5	5	0	0	1	2	7	5.71	3.5000	0.2857
40	117	10	80	2	45	8	35	3	54	1	19	5	5	0	0	1	2	7	5.71	4.0000	0.2500
40	140	11	81	2	45	9	36	3	54	1	19	6	6	0	0	1	2	7	5.71	4.5000	0.2222
40	143	12	82	2	45	10	37	3	54	1	19	7	7	0	0	1	2	7	5.71	5.0000	0.2000
40	151	13	87	2	45	11	42	4	59	1	19	7	7	0	0	1	2	7	5.71	5.5000	0.1818
40	155	14	88	2	45	12	43	4	59	1	19	8	8	0	0	1	2	7	5.71	6.0000	0.1667
40	161	15	89	2	45	13	44	4	59	1	19	9	9	0	0	1	2	7	5.71	6.5000	0.1538
40	164	16	90	2	45	14	45	4	59	1	19	10	10	0	0	1	2	7	5.71	7.0000	0.1429
40	170	17	91	2	45	15	46	4	59	1	19	11	11	0	0	1	2	7	5.71	7.5000	0.1333
40	171	18	92	2	45	16	47	4	59	1	19	12	12	0	0	1	2	7	5.71	8.0000	0.1250
40	180	19	93	2	45	17	48	4	59	1	19	13	13	0	0	1	2	7	5.71	8.5000	0.1176
40	181	20	100	2	45	18	55	5	66	1	19	13	13	0	0	1	2	7	5.71	9.0000	0.1111
40	185	21	101	2	45	19	56	5	66	1	19	14	14	0	0	1	2	7	5.71	9.5000	0.1053
40	190	23	103	2	45	21	58	5	66	1	19	16	16	0	0	1	2	7	5.71	10.5000	0.0952
40	200	24	104	2	45	22	59	5	66	1	19	17	17	0	0	1	2	7	5.71	11.0000	0.0909
40	210	25	121	3	62	22	59	5	66	2	36	17	17	0	0	1	2	7	5.71	7.3333	0.1364
40	219	26	150	4	91	22	59	6	95	2	36	17	17	0	0	1	2	8	5.00	5.5000	0.1818
40	237	27	155	4	91	23	64	6	95	3	41	17	17	0	0	1	2	8	5.00	5.7500	0.1739
40	245	28	156	4	91	24	65	6	95	3	41	18	18	0	0	1	2	8	5.00	6.0000	0.1667
40	253	29	157	4	91	25	66	6	95	3	41	19	19	0	0	1	2	8	5.00	6.2500	0.1600
40	272	30	158	4	91	26	67	6	95	3	41	20	20	0	0	1	2	8	5.00	6.5000	0.1538
40	280	31	159	4	91	27	68	6	95	3	41	21	21	0	0	1	2	8	5.00	6.7500	0.1481
40	283	31	159	4	91	27	68	6	95	3	41	21	21	1	1	1	2	8	5.00	6.7500	0.1481
