||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 4 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
4	124	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	4	1.00	0.0000	?????
4	491	2	3	2	3	0	0	1	2	0	0	1	1	0	0	0	0	3	1.33	0.0000	?????
4	608	2	3	2	3	0	0	1	2	0	0	1	1	1	1	0	0	4	1.00	0.0000	?????
4	624	3	5	3	5	0	0	2	4	0	0	1	1	1	1	0	0	4	1.00	0.0000	?????
4	629	3	5	3	5	0	0	2	4	0	0	1	1	2	2	0	0	3	1.33	0.0000	?????
4	714	3	5	3	5	0	0	2	4	0	0	1	1	3	3	0	0	3	1.33	0.0000	?????
4	908	4	8	4	8	0	0	2	4	1	3	1	1	3	3	0	0	3	1.33	0.0000	?????
4	913	5	11	5	11	0	0	3	7	1	3	1	1	3	3	0	0	4	1.00	0.0000	?????
4	918	6	12	6	12	0	0	3	7	1	3	2	2	3	3	0	0	4	1.00	0.0000	?????
4	970	7	14	7	14	0	0	4	9	1	3	2	2	3	3	0	0	3	1.33	0.0000	?????
4	1224	7	14	7	14	0	0	4	9	1	3	2	2	4	4	0	0	4	1.00	0.0000	?????
4	1568	7	14	7	14	0	0	4	9	1	3	2	2	5	5	0	0	4	1.00	0.0000	?????
4	1695	7	14	7	14	0	0	4	9	1	3	2	2	6	6	0	0	4	1.00	0.0000	?????
4	2095	7	14	7	14	0	0	4	9	1	3	2	2	7	7	0	0	4	1.00	0.0000	?????
4	2213	8	15	8	15	0	0	4	9	1	3	3	3	7	7	0	0	4	1.00	0.0000	?????
4	2576	8	15	8	15	0	0	4	9	1	3	3	3	8	8	0	0	3	1.33	0.0000	?????
4	2739	9	18	9	18	0	0	4	9	2	6	3	3	8	8	0	0	3	1.33	0.0000	?????
