||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 12 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
12	21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	7	1.71	?????	?????
12	70	1	5	0	0	1	5	1	5	0	0	0	0	1	1	0	0	7	1.71	?????	0.0000
12	120	1	5	0	0	1	5	1	5	0	0	0	0	2	2	0	0	7	1.71	?????	0.0000
12	136	2	10	1	5	1	5	2	10	0	0	0	0	2	2	0	0	7	1.71	1.0000	1.0000
12	147	3	11	1	5	2	6	2	10	0	0	1	1	2	2	0	0	6	2.00	2.0000	0.5000
12	181	4	12	1	5	3	7	2	10	0	0	2	2	2	2	0	0	6	2.00	3.0000	0.3333
12	203	5	13	1	5	4	8	2	10	0	0	3	3	2	2	0	0	6	2.00	4.0000	0.2500
12	229	6	18	2	10	4	8	2	10	1	5	3	3	2	2	0	0	6	2.00	2.0000	0.5000
12	231	7	22	3	14	4	8	3	14	1	5	3	3	2	2	0	0	7	1.71	1.3333	0.7500
12	255	8	23	3	14	5	9	3	14	1	5	4	4	2	2	0	0	6	2.00	1.6667	0.6000
12	274	9	27	3	14	6	13	3	14	2	9	4	4	2	2	0	0	6	2.00	2.0000	0.5000
12	331	10	28	4	15	6	13	3	14	2	9	5	5	2	2	0	0	6	2.00	1.5000	0.6667
12	451	11	29	4	15	7	14	3	14	2	9	6	6	2	2	0	0	7	1.71	1.7500	0.5714
12	454	12	35	5	21	7	14	4	20	2	9	6	6	2	2	0	0	7	1.71	1.4000	0.7143
12	490	12	35	5	21	7	14	4	20	2	9	6	6	3	3	0	0	6	2.00	1.4000	0.7143
12	667	13	41	6	27	7	14	4	20	3	15	6	6	3	3	0	0	6	2.00	1.1667	0.8571
12	693	14	42	6	27	8	15	4	20	3	15	7	7	3	3	0	0	7	1.71	1.3333	0.7500
12	1019	15	43	6	27	9	16	4	20	3	15	8	8	3	3	0	0	7	1.71	1.5000	0.6667
12	1086	16	44	6	27	10	17	4	20	3	15	9	9	3	3	0	0	7	1.71	1.6667	0.6000
12	1130	17	45	7	28	10	17	4	20	3	15	10	10	3	3	0	0	7	1.71	1.4286	0.7000
12	1142	18	46	7	28	11	18	4	20	3	15	11	11	3	3	0	0	8	1.50	1.5714	0.6364
12	1156	19	47	7	28	12	19	4	20	3	15	12	12	3	3	0	0	8	1.50	1.7143	0.5833
12	1180	20	55	8	36	12	19	4	20	4	23	12	12	3	3	0	0	8	1.50	1.5000	0.6667
12	1186	21	63	9	44	12	19	5	28	4	23	12	12	3	3	0	0	9	1.33	1.3333	0.7500
12	1203	22	68	10	49	12	19	6	33	4	23	12	12	3	3	0	0	8	1.50	1.2000	0.8333
12	1221	23	69	10	49	13	20	6	33	4	23	13	13	3	3	0	0	7	1.71	1.3000	0.7692
12	1350	24	70	10	49	14	21	6	33	4	23	14	14	3	3	0	0	7	1.71	1.4000	0.7143
