||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 16 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
16	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	7	2.29	?????	0.0000
16	13	2	2	1	1	1	1	0	0	0	0	2	2	0	0	0	0	7	2.29	1.0000	1.0000
16	44	3	15	1	1	2	14	1	13	0	0	2	2	0	0	0	0	6	2.67	2.0000	0.5000
16	61	4	16	1	1	3	15	1	13	0	0	3	3	0	0	0	0	6	2.67	3.0000	0.3333
16	82	5	21	2	6	3	15	1	13	1	5	3	3	0	0	0	0	6	2.67	1.5000	0.6667
16	96	6	26	2	6	4	20	1	13	2	10	3	3	0	0	0	0	7	2.29	2.0000	0.5000
16	115	7	27	2	6	5	21	1	13	2	10	4	4	0	0	0	0	7	2.29	2.5000	0.4000
16	159	8	31	2	6	6	25	2	17	2	10	4	4	0	0	0	0	7	2.29	3.0000	0.3333
16	170	9	38	2	6	7	32	2	17	3	17	4	4	0	0	0	0	7	2.29	3.5000	0.2857
16	173	10	42	3	10	7	32	3	21	3	17	4	4	0	0	0	0	7	2.29	2.3333	0.4286
16	188	11	43	3	10	8	33	3	21	3	17	5	5	0	0	0	0	6	2.67	2.6667	0.3750
16	211	12	44	3	10	9	34	3	21	3	17	6	6	0	0	0	0	6	2.67	3.0000	0.3333
16	215	13	45	3	10	10	35	3	21	3	17	7	7	0	0	0	0	6	2.67	3.3333	0.3000
16	222	14	46	3	10	11	36	3	21	3	17	8	8	0	0	0	0	6	2.67	3.6667	0.2727
16	227	14	46	3	10	11	36	3	21	3	17	8	8	1	1	0	0	6	2.67	3.6667	0.2727
16	268	15	47	3	10	12	37	3	21	3	17	9	9	1	1	0	0	6	2.67	4.0000	0.2500
16	282	16	50	3	10	13	40	3	21	4	20	9	9	1	1	0	0	6	2.67	4.3333	0.2308
16	378	17	51	3	10	14	41	3	21	4	20	10	10	1	1	0	0	6	2.67	4.6667	0.2143
16	428	18	52	3	10	15	42	3	21	4	20	11	11	1	1	0	0	6	2.67	5.0000	0.2000
16	441	19	53	3	10	16	43	3	21	4	20	12	12	1	1	0	0	6	2.67	5.3333	0.1875
16	450	20	60	3	10	17	50	4	28	4	20	12	12	1	1	0	0	6	2.67	5.6667	0.1765
16	470	21	61	3	10	18	51	4	28	4	20	13	13	1	1	0	0	6	2.67	6.0000	0.1667
16	480	22	62	3	10	19	52	4	28	4	20	14	14	1	1	0	0	6	2.67	6.3333	0.1579
16	602	23	63	3	10	20	53	4	28	4	20	15	15	1	1	0	0	6	2.67	6.6667	0.1500
16	627	24	73	3	10	21	63	4	28	5	30	15	15	1	1	0	0	6	2.67	7.0000	0.1429
16	628	25	74	3	10	22	64	4	28	5	30	16	16	1	1	0	0	6	2.67	7.3333	0.1364
16	637	26	75	4	11	22	64	4	28	5	30	17	17	1	1	0	0	6	2.67	5.5000	0.1818
16	660	27	85	5	21	22	64	5	38	5	30	17	17	1	1	0	0	7	2.29	4.4000	0.2273
16	689	28	86	6	22	22	64	5	38	5	30	18	18	1	1	0	0	6	2.67	3.6667	0.2727
16	769	29	90	7	26	22	64	6	42	5	30	18	18	1	1	0	0	7	2.29	3.1429	0.3182
16	830	30	91	7	26	23	65	6	42	5	30	19	19	1	1	0	0	6	2.67	3.2857	0.3043
16	927	31	94	7	26	24	68	7	45	5	30	19	19	1	1	0	0	6	2.67	3.4286	0.2917
16	1024	32	95	7	26	25	69	7	45	5	30	20	20	1	1	0	0	6	2.67	3.5714	0.2800
16	1086	32	95	7	26	25	69	7	45	5	30	20	20	2	2	0	0	6	2.67	3.5714	0.2800
16	1132	33	96	7	26	26	70	7	45	5	30	21	21	2	2	0	0	6	2.67	3.7143	0.2692
16	1162	34	102	7	26	27	76	8	51	5	30	21	21	2	2	0	0	6	2.67	3.8571	0.2593
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 16 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
16	64	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	6	2.67	?????	0.0000
16	84	2	2	0	0	2	2	0	0	0	0	2	2	0	0	0	0	6	2.67	?????	0.0000
16	168	3	7	0	0	3	7	0	0	1	5	2	2	0	0	0	0	6	2.67	?????	0.0000
16	177	4	8	0	0	4	8	0	0	1	5	3	3	0	0	0	0	6	2.67	?????	0.0000
16	244	5	9	0	0	5	9	0	0	1	5	4	4	0	0	0	0	6	2.67	?????	0.0000
16	257	6	10	0	0	6	10	0	0	1	5	5	5	0	0	0	0	6	2.67	?????	0.0000
16	313	6	10	0	0	6	10	0	0	1	5	5	5	1	1	0	0	6	2.67	?????	0.0000
16	403	7	11	1	1	6	10	0	0	1	5	6	6	1	1	0	0	6	2.67	6.0000	0.1667
16	428	8	16	1	1	7	15	1	5	1	5	6	6	1	1	0	0	7	2.29	7.0000	0.1429
16	490	9	17	1	1	8	16	1	5	1	5	7	7	1	1	0	0	7	2.29	8.0000	0.1250
16	524	10	25	2	9	8	16	1	5	2	13	7	7	1	1	0	0	7	2.29	4.0000	0.2500
16	531	11	35	3	19	8	16	1	5	3	23	7	7	1	1	0	0	7	2.29	2.6667	0.3750
16	542	12	36	3	19	9	17	1	5	3	23	8	8	1	1	0	0	8	2.00	3.0000	0.3333
