||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 8 Poins: ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
N	Att#	Tot	Ch Tot	Ext	Ch Ext	Int	Ch Int	GI	Ch GI	GO	Ch GO	Chld	Ch Chld	CD	Ch CD	BOX	Ch BOX	CH	All/CH	OverhIE	overhEI
8	85	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	8	1.00	0.0000	?????
8	162	2	2	1	1	1	1	0	0	0	0	2	2	0	0	0	0	7	1.14	1.0000	1.0000
8	188	3	9	2	8	1	1	1	7	0	0	2	2	0	0	0	0	7	1.14	0.5000	2.0000
8	190	3	9	2	8	1	1	1	7	0	0	2	2	1	1	0	0	7	1.14	0.5000	2.0000
8	212	4	10	3	9	1	1	1	7	0	0	3	3	1	1	0	0	7	1.14	0.3333	3.0000
8	224	5	11	3	9	2	2	1	7	0	0	4	4	1	1	0	0	6	1.33	0.6667	1.5000
8	511	6	17	4	15	2	2	2	13	0	0	4	4	1	1	0	0	6	1.33	0.5000	2.0000
8	531	7	18	4	15	3	3	2	13	0	0	5	5	1	1	0	0	5	1.60	0.7500	1.3333
8	532	8	19	4	15	4	4	2	13	0	0	6	6	1	1	0	0	5	1.60	1.0000	1.0000
8	602	9	21	4	15	5	6	3	15	0	0	6	6	1	1	0	0	5	1.60	1.2500	0.8000
8	734	10	22	4	15	6	7	3	15	0	0	7	7	1	1	0	0	5	1.60	1.5000	0.6667
8	739	11	28	4	15	7	13	3	15	1	6	7	7	1	1	0	0	5	1.60	1.7500	0.5714
8	775	12	29	5	16	7	13	3	15	1	6	8	8	1	1	0	0	5	1.60	1.4000	0.7143
8	939	13	30	5	16	8	14	3	15	1	6	9	9	1	1	0	0	6	1.33	1.6000	0.6250
8	1102	14	36	6	22	8	14	4	21	1	6	9	9	1	1	0	0	6	1.33	1.3333	0.7500
8	1134	15	42	7	28	8	14	4	21	2	12	9	9	1	1	0	0	5	1.60	1.1429	0.8750
8	1172	15	42	7	28	8	14	4	21	2	12	9	9	2	2	0	0	6	1.33	1.1429	0.8750
8	1415	16	43	7	28	9	15	4	21	2	12	10	10	2	2	0	0	6	1.33	1.2857	0.7778
8	1548	17	48	8	33	9	15	4	21	3	17	10	10	2	2	0	0	6	1.33	1.1250	0.8889
8	1606	18	53	9	38	9	15	5	26	3	17	10	10	2	2	0	0	7	1.14	1.0000	1.0000
8	1670	19	54	9	38	10	16	5	26	3	17	11	11	2	2	0	0	6	1.33	1.1111	0.9000
8	1707	20	55	9	38	11	17	5	26	3	17	12	12	2	2	0	0	6	1.33	1.2222	0.8182
8	1809	21	59	10	42	11	17	6	30	3	17	12	12	2	2	0	0	6	1.33	1.1000	0.9091
8	1823	22	60	10	42	12	18	6	30	3	17	13	13	2	2	0	0	5	1.60	1.2000	0.8333
8	1877	23	61	10	42	13	19	6	30	3	17	14	14	2	2	0	0	5	1.60	1.3000	0.7692
8	1882	24	64	10	42	14	22	7	33	3	17	14	14	2	2	0	0	5	1.60	1.4000	0.7143
8	1941	25	65	10	42	15	23	7	33	3	17	15	15	2	2	0	0	5	1.60	1.5000	0.6667
8	1942	26	66	10	42	16	24	7	33	3	17	16	16	2	2	0	0	5	1.60	1.6000	0.6250
8	2301	26	66	10	42	16	24	7	33	3	17	16	16	3	3	0	0	5	1.60	1.6000	0.6250
8	2307	26	66	10	42	16	24	7	33	3	17	16	16	4	4	0	0	5	1.60	1.6000	0.6250
8	2316	27	67	10	42	17	25	7	33	3	17	17	17	4	4	0	0	5	1.60	1.7000	0.5882
8	2375	27	67	10	42	17	25	7	33	3	17	17	17	5	5	0	0	5	1.60	1.7000	0.5882
8	2376	28	73	11	48	17	25	7	33	4	23	17	17	5	5	0	0	5	1.60	1.5455	0.6471
8	2384	28	73	11	48	17	25	7	33	4	23	17	17	6	6	0	0	6	1.33	1.5455	0.6471
8	2404	28	73	11	48	17	25	7	33	4	23	17	17	7	7	0	0	6	1.33	1.5455	0.6471
8	2616	29	79	12	54	17	25	8	39	4	23	17	17	7	7	0	0	6	1.33	1.4167	0.7059
8	2620	30	85	13	60	17	25	9	45	4	23	17	17	7	7	0	0	5	1.60	1.3077	0.7647
8	2635	31	86	13	60	18	26	9	45	4	23	18	18	7	7	0	0	4	2.00	1.3846	0.7222
8	2636	32	93	14	67	18	26	9	45	5	30	18	18	7	7	0	0	4	2.00	1.2857	0.7778
8	2649	33	94	14	67	19	27	9	45	5	30	19	19	7	7	0	0	5	1.60	1.3571	0.7368
8	2713	34	101	15	74	19	27	10	52	5	30	19	19	7	7	0	0	5	1.60	1.2667	0.7895
8	2988	34	101	15	74	19	27	10	52	5	30	19	19	8	8	0	0	4	2.00	1.2667	0.7895
8	3106	35	104	15	74	20	30	10	52	6	33	19	19	8	8	0	0	4	2.00	1.3333	0.7500
8	3138	36	105	15	74	21	31	10	52	6	33	20	20	8	8	0	0	4	2.00	1.4000	0.7143
8	3563	37	106	15	74	22	32	10	52	6	33	21	21	8	8	0	0	4	2.00	1.4667	0.6818
8	3575	37	106	15	74	22	32	10	52	6	33	21	21	9	9	0	0	4	2.00	1.4667	0.6818
8	3678	38	107	15	74	23	33	10	52	6	33	22	22	9	9	0	0	4	2.00	1.5333	0.6522
8	3682	38	107	15	74	23	33	10	52	6	33	22	22	10	10	0	0	4	2.00	1.5333	0.6522
